0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7.605267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24472012.76595745,21391000.0,2836400.0,42224000.0,9829929.843143012,26579000.0,42224000.0,26372465.367088795,0.8465298498644639,-0.27929655481737203,2.816195,21112000.0,0.408371
7.748382,38056000.0,4.363331,30.397679045092843,19447000.0,0.0,0.0,0.0,0.0,23141493.055555556,20715500.0,2719500.0,38056000.0,8486603.638567446,26044750.0,38056000.0,24648552.53678139,0.6720267965147507,-0.33187295609529643,1.613331,19028000.0,0.319224
7.720491,38160000.0,4.394361,29.416462610661142,9731000.0,0.0,0.0,0.0,0.0,24697295.862068966,22842000.0,2985100.0,38160000.0,7930883.273510703,28429000.0,38160000.0,25939455.1291391,0.41434077095922184,-0.23177742678201252,2.894361,19080000.0,0.1971965
7.759746,39266000.0,4.370928,30.198674008315535,20065000.0,0.0,0.0,0.0,0.0,22385270.62937063,19299000.0,2510300.0,39266000.0,9366489.870600428,24723000.0,39266000.0,24265849.946915597,0.856871670191013,-0.3465196720290433,0.07904,19633000.0,0.495247
7.623982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24254617.48251748,21315000.0,2795600.0,41159000.0,9496107.113192167,27157000.0,41159000.0,26047313.09614221,0.7726554695699912,-0.35022224542452607,2.587793,20579500.0,0.38969600000000004
7.616868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22892223.776223775,20284000.0,2652500.0,38445000.0,8786774.406327184,25706000.0,38445000.0,24520630.37298168,0.734179063786987,-0.35353800346581066,2.829587,19222500.0,0.360661
7.614185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24280965.034965035,22307000.0,2949800.0,37906000.0,7999260.037931119,27370000.0,37906000.0,25564690.965932608,0.47799414428020576,-0.2598603951606657,1.582255,18953000.0,0.194379
7.624442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23876771.32867133,21295000.0,2815200.0,39393000.0,8822054.271620398,26823500.0,39393000.0,25454446.579194702,0.6893610789022375,-0.33538789425585147,1.58901,19696500.0,0.3208885
7.607145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24367571.32867133,21736000.0,2869200.0,40251000.0,9021063.45890536,27255500.0,40251000.0,25983804.925135244,0.6948416171905493,-0.3322082618536082,1.571538,20125500.0,0.31240199999999996
7.740274,38652000.0,4.352638,30.290255532461174,19751000.0,0.0,0.0,0.0,0.0,22808720.833333332,20072500.0,2622400.0,38652000.0,8891370.005343782,25593250.0,38652000.0,24480486.241593756,0.7633660307829866,-0.3435318575415618,0.076845,19326000.0,0.392696
7.760256,39678000.0,4.38056,34.76744186046511,20275000.0,0.0,0.0,0.0,0.0,25156276.55172414,23011000.0,3027000.0,39678000.0,8406704.085783735,28738000.0,39678000.0,26523780.340154354,0.5172479238375477,-0.25845890756247947,2.88056,19839000.0,0.226283
7.605122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23568218.439716313,20128000.0,2637200.0,42399000.0,10294842.97498801,25408000.0,42399000.0,25718567.46208552,0.9399192147263332,-0.2757107450294529,0.072296,21199500.0,0.5172985
7.730498,38811000.0,4.346994,32.52777777777777,19832000.0,0.0,0.0,0.0,0.0,24294763.888888888,22073000.0,2914500.0,38811000.0,8377100.241793523,27312250.0,38811000.0,25698470.010448415,0.5751470760097591,-0.2920632285618612,2.596994,19405500.0,0.2422715
7.754515,39094000.0,4.370381,30.402032677216,19977000.0,0.0,0.0,0.0,0.0,23754995.138888888,21245500.0,2792400.0,39094000.0,8723597.200380715,26736000.0,39094000.0,25306144.355929155,0.6765227601853445,-0.33263318002610287,1.620381,19547000.0,0.3287355
7.612558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24093215.384615384,22127000.0,2928000.0,37646000.0,7952132.571826451,27151000.0,37646000.0,25371626.672512952,0.4813490456955075,-0.2616911713592449,1.580093,18823000.0,0.19376749999999998
7.759406,39794000.0,4.375298,30.233128078817728,20335000.0,0.0,0.0,0.0,0.0,23891476.388888888,21240500.0,2788300.0,39794000.0,8943135.817447012,26883000.0,39794000.0,25510435.556652866,0.7179183791906925,-0.3088886206722008,2.875297,19897000.0,0.357087
7.738837,40620000.0,4.349684,30.24846451319381,20757000.0,0.0,0.0,0.0,0.0,23752367.13286713,20772000.0,2743900.0,40620000.0,9419612.821210178,26174000.0,40620000.0,25551987.204834264,0.8062970685903318,-0.3304251441683146,1.599684,20310000.0,0.4158465
7.751186,40899000.0,4.366398,30.38612229952399,20900000.0,0.0,0.0,0.0,0.0,24819500.694444444,22134000.0,2929300.0,40899000.0,9117967.232768865,27878750.0,40899000.0,26441349.0801694,0.6922490790356107,-0.3221944737908333,1.616398,20449500.0,0.3280845
7.738359,41395000.0,4.354839,30.445548887221804,21153000.0,0.0,0.0,0.0,0.0,25532471.527777776,22980000.0,3030000.0,41395000.0,9063670.605290288,28611750.0,41395000.0,27093490.494175646,0.6387215055500405,-0.30150631731509137,0.101783,20697500.0,0.27610049999999997
7.620329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24736496.527777776,22776000.0,3001100.0,38489000.0,8093695.072489837,28192750.0,38489000.0,26026950.65495012,0.45491805484797926,-0.26252080177845283,1.589163,19244500.0,0.19622699999999998
