0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7.809866,36656000.0,1.566195,12.279738323073488,2224000.0,38697000.0,7.566195,28.934796949540925,27503000.0,12080067.244094487,5755500.0,222400.0,38697000.0,13484500.141190084,12153000.0,36289200.0,18104136.783608325,1.1834580073450316,-0.4252421189396429,0.65651,19348500.0,0.7590950000000001
7.850782,32406000.0,1.363331,11.476293472392314,2137000.0,34400000.0,7.113331,30.54704272266565,23574000.0,11286685.0,5741600.0,212920.0,34400000.0,11833860.630299639,12232000.0,32058500.0,16353272.324112406,1.1004494153820792,-0.5687364863556441,0.17472,17200000.0,0.755031
7.874091,32255000.0,1.39436,11.447149323389397,2288000.0,34475000.0,7.144361,30.457401066170164,23021000.0,11457690.610687023,6063300.0,214790.0,34475000.0,11735125.434316546,12930000.0,32070000.0,16400970.797162242,1.093429602837977,-0.5529056367649097,0.73486,17237500.0,0.7604599999999999
7.862145,33741000.0,1.370928,11.104737141705115,2149000.0,35694000.0,7.120928,30.516292156642066,24936000.0,11489468.372093024,5522600.0,204330.0,35694000.0,12472655.189648714,11968000.0,33437000.0,16958036.765887637,1.1136144552606984,-0.5697491671517336,0.177975,17847000.0,0.7626280000000001
7.828582,35404000.0,1.337793,11.251524064171122,2207000.0,37467000.0,7.087793,29.741061776869373,25869000.0,11955648.449612403,5846000.0,220080.0,37467000.0,12987271.556166982,12652000.0,35078200.0,17652386.59004338,1.1477791514296296,-0.48224177567452875,0.670877,18733500.0,0.729493
7.821467,32847000.0,1.579587,11.911395394858644,2155000.0,34916000.0,7.329587,29.75764440343056,24510000.0,11227980.3875969,5675800.0,213960.0,34916000.0,11977678.006293569,11974000.0,32486800.0,16417439.32550717,1.140029535765591,-0.487101842641259,0.167238,17458000.0,0.7212879999999999
7.818785,32148000.0,1.582255,12.028116710875324,2224000.0,34181000.0,7.332255,29.778732628313648,23191000.0,11215506.279069768,5926500.0,218740.0,34181000.0,11640549.792837884,12506000.0,31767200.0,16164466.603491483,1.1227575363013662,-0.505389514462744,0.672855,17090500.0,0.723955
7.829041,33878000.0,1.58901,12.409687822497418,2146000.0,35831000.0,7.624442,29.770887947838943,25146000.0,11511797.751937985,5736800.0,217410.0,35831000.0,12339640.162714735,12320000.0,33489200.0,16875669.077900495,1.140677724125368,-0.4917751875218843,0.677603,17915500.0,0.73071
7.811745,34513000.0,1.321538,11.349448168460967,2178000.0,36612000.0,7.071538,29.747050942904437,25148000.0,11757675.503875969,5863900.0,221440.0,36612000.0,12625074.953862939,12575000.0,34197200.0,17252114.387665715,1.1429551348048415,-0.4855844360559032,7.071538,18306000.0,0.713238
7.842674,33026000.0,1.352638,11.178645485537558,2150000.0,35035000.0,7.102638,30.525696642326352,24164000.0,11391887.153846154,5675500.0,210220.0,35035000.0,12111069.83217193,12106250.0,32705100.0,16626879.00376105,1.108466355227312,-0.5599189120661414,0.172995,17517500.0,0.7443379999999999
7.862656,33677000.0,1.38056,11.374386221472633,2365000.0,35973000.0,7.13056,30.225722286966644,23925000.0,11831209.61832061,6198600.0,222070.0,35973000.0,12220173.184995126,13194500.0,33334000.0,17009119.7216057,1.1029605083664902,-0.53272730550658,0.72106,17986500.0,0.74666
7.809722,36786000.0,1.3139,11.108566038316226,2162000.0,38756000.0,7.3139,28.924691028428043,27328000.0,12045214.64566929,5620400.0,215650.0,38756000.0,13599604.361351106,11984000.0,36423600.0,18166904.927519325,1.1887062029506936,-0.4194942278096918,0.644589,19378000.0,0.7567999999999999
7.832898,32966000.0,1.346994,11.4539502963015,2274000.0,35161000.0,7.096994,30.538486433395704,23699000.0,11566175.461538462,5965250.0,217310.0,35161000.0,12042234.41359682,12697000.0,32643200.0,16697060.354418978,1.0976179281354368,-0.5683485878979182,7.096994,17580500.0,0.738694
7.856915,33336000.0,1.370381,11.328144465398012,2254000.0,35454000.0,7.120381,30.53523942799916,24130000.0,11590154.846153846,5856250.0,216150.0,35454000.0,12207128.031007774,12569500.0,33013600.0,16832874.505658243,1.1028099153604123,-0.5649773592168277,0.707753,17727000.0,0.762081
7.817158,31940000.0,1.580093,12.238837217784578,2216000.0,34111000.0,7.330092,29.781757598209737,23464000.0,11145939.069767442,5895400.0,218020.0,34111000.0,11565278.007405035,12398000.0,31552200.0,16061992.813332189,1.123883587237239,-0.5017938220913298,0.670693,17055500.0,0.721793
7.861805,34086000.0,1.375297,11.258271116093795,2176000.0,36135000.0,7.125298,30.196414608132457,24791000.0,11710937.538461538,5844250.0,214540.0,36135000.0,12467978.397569578,12646750.0,33766100.0,17105453.614330407,1.116386895057332,-0.5348546934285534,6.875298,18067500.0,0.7413970000000001
7.841237,35130000.0,1.599684,12.318500161932093,2161000.0,37061000.0,7.636637,30.523788201654924,26259000.0,11910540.7751938,5697100.0,215880.0,37061000.0,12940674.203159899,12409000.0,34737600.0,17587553.280370813,1.1146888982932617,-0.5712598643582552,0.689967,18530500.0,0.741384
7.853586,35127000.0,1.366398,11.595011518695728,2228000.0,37220000.0,7.366398,30.53490639250856,25534000.0,12094139.076923076,6001000.0,223160.0,37220000.0,12884289.010934893,12981250.0,34733100.0,17671250.757353183,1.1083545852251526,-0.5626606450979499,0.70455,18610000.0,0.7580985
7.840759,35473000.0,1.35484,11.363070228091232,2246000.0,37635000.0,7.104839,30.537328275483503,25573000.0,12255781.538461538,6123550.0,223520.0,37635000.0,13008555.988299482,13271250.0,35126100.0,17872512.69461619,1.1068963900286601,-0.5634716225399967,0.172444,18817500.0,0.74654
7.824929,32469000.0,1.339163,11.476338526747242,2282000.0,34693000.0,7.339163,29.760789217774814,23114000.0,11432442.384615384,6137050.0,225880.0,34693000.0,11704481.071728094,12804000.0,32156500.0,16361406.297625871,1.1201157292939097,-0.4903039296486855,7.089163,17346500.0,0.730863
7.809722,34685000.0,1.571088,12.001717032967036,2299000.0,36743000.0,7.321088,29.763399959639443,25076000.0,11911299.457364341,6059400.0,226470.0,36743000.0,12619791.98009482,12987000.0,34273600.0,17353334.099932313,1.1349813270639126,-0.49496684521640066,0.164123,18371500.0,0.712788
7.866596,33076000.0,1.37707,11.086414565826331,2153000.0,35041000.0,7.12707,30.351969101428836,24203000.0,11375073.488372093,5559200.0,206450.0,35041000.0,12219551.24333041,12039000.0,32882800.0,16694601.805800682,1.1128353737502348,-0.5625992268544517,0.179307,17520500.0,0.74317
7.804441,35480000.0,1.561127,11.952586206896541,2211000.0,37596000.0,7.311127,28.934927372734492,26664000.0,11801869.140625,5753250.0,220680.0,37596000.0,12987446.778777443,12385750.0,35092200.0,17548728.986568037,1.1831709884322972,-0.4073167316308286,0.651428,18798000.0,0.754027
7.878884,32188000.0,1.640726,11.980879380053906,2163000.0,34223000.0,7.640726,30.391511903039827,23791000.0,11205769.767441861,5648100.0,211190.0,34223000.0,11815366.097868733,12084000.0,31937600.0,16284107.347582176,1.1029436155166352,-0.571811795550909,0.182695,17111500.0,0.756826
7.823118,32425000.0,1.584793,12.058105872622008,2238000.0,34595000.0,7.334793,29.770576023505456,23791000.0,11281866.434108527,5922100.0,220540.0,34595000.0,11748523.397613598,12433000.0,32044400.0,16288287.579157569,1.1263020088626945,-0.49912225779024366,0.166239,17297500.0,0.726493
7.817305,33893000.0,1.330307,11.499612175951455,2307000.0,36138000.0,7.080307,29.750944026719196,24366000.0,11707850.697674418,5989800.0,221580.0,36138000.0,12365617.954072341,12865000.0,33582000.0,17028865.94418758,1.133708660456514,-0.49222051659718424,0.670908,18069000.0,0.722008
7.867286,33799000.0,1.383051,11.557238836899856,2185000.0,35854000.0,7.133051,30.424317538158107,24609000.0,11713116.846153846,5865900.0,215940.0,35854000.0,12416125.380318254,12765500.0,33513000.0,17069190.833529167,1.1094376063569642,-0.5544233689542657,6.883051,17927000.0,0.749151
7.838223,33856000.0,1.350408,11.5416181041181,2188000.0,35916000.0,7.350409,30.538982492574377,24591000.0,11727350.307692308,5909600.0,219520.0,35916000.0,12392351.655063197,12644750.0,33478900.0,17061685.87162706,1.105114241600312,-0.5644380579124602,0.681188,17958000.0,0.7421085000000001
7.881217,36674000.0,1.389949,10.771711736715119,2277000.0,38758000.0,7.139949,30.302875674221838,26835000.0,12353007.364341086,5721900.0,211750.0,38758000.0,13675099.255039,12670000.0,36471800.0,18428378.403392777,1.1274244269348481,-0.5490672426047936,0.183377,19379000.0,0.756049
